MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,AvgIpc,BalabanJ,HallKierAlpha,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumSaturatedHeterocycles,MolLogP,Value
13.876913,0.36164823,-4.4448795,0.14918482,12.0,583.59,0.41591024,0.41591024,0.6097561,3.0058362,1.6761699,-4.12,2269088000.0,5.8172207,0.0,0.0,0.0,6.1762986,0.0,9.374393,13.171246,0.0,114.9351,52.067818,22.292019,16.77408,44.661205,0.0,4.9839787,0.0,6.1762986,0.0,144.84074,22.384283,15.91362,17.56166,0.0,6.0378027,17.983154,5.8172207,5.5634513,0.0,33.28721,0.0,5.8172207,16.77408,44.559483,24.265469,12.132734,84.92914,0.0,16.790834,53.77921,6.620444,5.0638885,2.5167809,-0.36164823,-4.4448795,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,8.4825,4.56
12.85454,0.1134348,-0.25453854,0.5639453,14.461538,349.386,0.22924872,0.4918339,1.0384616,3.02836,1.7367142,-2.92,1145934.4,17.939413,11.543492,5.783245,0.0,0.0,9.589074,0.0,0.0,0.0,24.265469,33.151814,28.621336,5.5634513,22.535734,0.0,4.8999095,0.0,12.965578,20.702227,64.91517,5.7495117,4.736863,0.0,5.7495117,0.0,0.0,0.0,38.963413,0.0,10.969244,0.0,23.368578,40.01599,0.0,0.0,42.46457,14.095344,11.823647,9.154014,11.577368,0.0,27.638012,1.6431421,0.32978275,0.0,2.5981333,3.9854996,1.0,0.0,2.0,1.0,3.0,0.0,3.5371,4.38
11.837153,0.019119846,-0.6350064,0.2761853,15.047619,286.239,0.3438245,0.50793904,0.95238096,2.7222707,2.1280954,-3.15,65889.84,11.499023,17.248535,0.0,0.0,5.9693055,0.0,4.794537,0.0,0.0,0.0,41.971306,5.5634513,5.5731044,17.61843,0.0,0.0,0.0,0.0,0.0,41.458736,28.747559,4.736863,0.0,28.747559,0.0,4.794537,0.0,11.126903,0.0,11.649125,0.0,11.322617,16.876415,0.0,36.407856,0.0,0.0,0.0,4.736863,5.038144,0.0,11.837153,0.87813634,-1.9665151,1.3814352,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.9686,5.52
11.774744,0.11667748,-0.38939533,0.4717977,15.555555,238.242,0.34382445,0.50793904,1.0555556,2.67497,2.1170213,-2.55,21581.658,11.499023,0.0,0.0,0.0,5.9693055,0.0,4.794537,0.0,0.0,30.331835,29.838573,5.5634513,5.5731044,17.61843,0.0,0.0,0.0,0.0,0.0,59.65784,11.499023,4.736863,0.0,11.499023,0.0,4.794537,0.0,11.126903,0.0,11.649125,0.0,11.718817,16.886068,5.5634513,12.132734,12.142387,30.331835,0.0,4.736863,5.1283193,0.0,11.774744,2.010737,0.21337579,1.7575463,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.8518,3.02
13.010453,0.09316917,-1.847247,0.30236635,20.148148,365.345,0.34267634,0.61863625,1.4074074,3.0123463,1.8040551,-3.26,2145474.2,12.123583,11.7978945,6.1968436,5.559267,5.9693055,4.794537,9.778516,4.7304077,0.0,6.923737,18.553556,22.579494,23.496063,16.87223,0.0,9.551078,0.0,32.097248,0.0,62.8442,11.387856,10.289675,0.0,0.0,0.0,28.28409,5.207253,30.034914,0.0,22.290781,0.0,29.713873,28.17972,10.949676,12.393687,23.623571,6.066367,4.9839787,4.736863,7.2838283,0.0,29.717653,0.87211525,-0.75098354,2.8592672,1.8431749,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.713,5.93
11.491759,0.15416667,-0.18328704,0.6722926,14.071428,188.182,0.18995059,0.49596217,1.0714285,2.2265341,2.7067397,-1.9,1959.3501,5.7495117,11.56649,0.0,0.0,0.0,9.589074,0.0,0.0,0.0,12.132734,18.218407,5.5634513,12.673249,11.56649,0.0,0.0,0.0,0.0,7.1097975,41.478043,5.7495117,4.736863,0.0,5.7495117,0.0,0.0,0.0,20.715977,0.0,0.0,0.0,11.56649,16.876415,0.0,19.261837,18.1991,0.0,0.0,4.736863,5.0243983,0.0,22.896393,0.7771759,0.11180556,2.5528703,0.0,1.4778666,1.0,0.0,1.0,0.0,1.0,0.0,1.6304,4.32
13.654279,0.07569053,-1.8915153,0.27410808,18.763159,514.514,0.34267634,0.45819774,1.1315789,3.542893,1.486452,-4.28,874577540.0,6.606882,36.038517,6.7929425,5.559267,5.9693055,4.794537,14.345615,0.0,0.0,6.923737,24.619923,39.772766,35.619648,16.87223,0.0,9.551078,0.0,45.248886,6.7929425,80.89658,22.886879,19.600092,0.0,11.499023,0.0,41.435726,0.0,41.161816,0.0,22.290781,0.0,49.658455,34.948338,22.076578,0.0,17.557203,41.226254,0.0,19.194567,20.035776,0.0,31.121845,2.7684627,0.46415904,3.8723137,2.2828567,0.0,0.0,3.0,1.0,3.0,4.0,0.0,1.6364,7.0
13.067833,0.10780687,-1.8297304,0.51143,19.535715,373.368,0.34267634,0.45819774,1.3214285,3.0663435,1.7776212,-3.5,3733267.2,6.606882,5.601051,0.0,5.559267,5.9693055,4.794537,9.778516,5.2618914,0.0,6.923737,36.75266,16.513126,40.64544,16.87223,5.2618914,9.551078,0.0,32.097248,0.0,62.939445,17.457077,5.559267,0.0,0.0,0.0,28.28409,11.331113,35.598366,0.0,22.290781,0.0,18.586971,40.139668,10.949676,0.0,35.756306,6.066367,11.0532,9.9987545,6.6616693,0.0,29.935076,1.8217051,-0.73557967,0.10780687,1.8705947,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.95128,5.72
13.176384,0.09696623,-1.8488444,0.35813108,20.666666,407.382,0.34267634,0.45819774,1.2333333,3.3501427,1.6208255,-3.59,13642223.0,6.606882,17.100075,6.7929425,5.559267,5.9693055,4.794537,9.778516,0.0,0.0,6.923737,18.553556,22.579494,34.70015,22.559616,0.0,9.551078,0.0,32.097248,12.526609,45.24326,22.886879,20.76666,5.6873865,11.499023,0.0,28.28409,0.0,30.034914,0.0,22.290781,0.0,30.943365,51.5854,5.5634513,0.0,23.623571,6.066367,0.0,24.928234,17.563213,0.0,30.17258,7.7301145,0.27728826,0.09696623,1.9303105,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.3905,7.14
13.137746,0.0,-1.8303719,0.26307014,18.666666,426.86,0.34267634,0.45819774,1.3666667,3.081817,2.1779977e-06,-3.23,6079367.5,6.606882,5.601051,0.0,5.559267,5.9693055,10.203821,9.778516,0.0,12.407033,12.990105,30.68629,22.200514,35.3513,41.305183,5.4092836,9.551078,0.0,32.097248,5.3167887,57.375996,11.387856,10.876056,5.6873865,0.0,12.407033,28.28409,5.4092836,30.034914,0.0,22.290781,0.0,30.994003,29.059515,28.492298,0.0,17.557203,24.265469,5.3167887,15.130125,6.6923122,0.0,30.106537,2.0830526,-0.7324988,1.2185299,1.8796071,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.52037,4.69
